Rank,State,Mean,Median,SD,Min,Max,Num_Districts
1,AL,121.31,113.09,21.87,105.58,166.69,7
2,AR,115.22,115.13,8.59,104.8,125.79,4
3,TN,108.12,108.26,19.16,73.6,133,9
4,MS,105.64,106.25,17.36,83.9,126.14,4
5,LA,98.38,98.88,10.34,83.22,112.65,6
6,KY,98.13,85.76,26.72,77.62,147,6
7,OK,97.64,93.35,16.76,75.07,118.28,5
8,WV,96.54,92.54,10.58,88.53,108.54,3
9,SC,89.69,83.07,14.67,74.22,116.87,7
10,MI,85.29,83.77,10.26,68.8,112.31,14
11,IN,84.4,82.15,10.52,72.4,103.02,9
12,NC,83.62,82.43,16.89,59.95,111.43,13
13,NV,81.21,79.9,4.78,77.5,87.53,4
14,MO,80.77,78.76,15.50,62.64,107.64,8
15,GA,79.05,89.26,22.09,47.57,105.79,14
16,DE,78.96,78.96,NA,78.96,78.96,1
17,ID,78.44,78.44,1.66,77.27,79.62,2
18,KS,77.85,74.4,12.12,67.28,95.32,4
19,OR,76.84,72.68,22.42,53.99,101.22,5
20,OH,75.45,74.61,8.06,63.41,90.45,16
21,MT,71.6,71.6,NA,71.6,71.6,1
22,WY,71.18,71.18,NA,71.18,71.18,1
23,UT,70.81,70.04,5.52,64.92,78.24,4
24,AZ,70.38,68.2,8.39,60.88,90.61,9
25,PA,69.7,69.32,9.90,54.87,88.7,18
26,ME,67.16,67.16,6.55,62.53,71.8,2
27,AK,67.08,67.08,NA,67.08,67.08,1
28,FL,66.9,67.83,19.55,30.5,100.06,27
29,NM,65.6,65.28,1.80,64,67.54,3
30,VA,65.5,64.1,25.83,29.29,124.49,11
31,WA,65.16,65.1,12.06,47.99,84.7,10
32,IA,64.48,63.77,7.79,56.75,73.62,4
33,NH,64.31,64.31,1.83,63.01,65.6,2
34,NE,63.96,62.81,3.83,60.84,68.24,3
35,WI,62.38,58.27,8.44,53.96,76.8,8
36,CO,60.91,57.45,11.50,43.65,80.06,7
37,RI,60.34,60.34,4.64,57.06,63.62,2
38,MD,59.08,58.29,10.32,45.31,74.04,8
39,SD,58.81,58.81,NA,58.81,58.81,1
40,VT,58.72,58.72,NA,58.72,58.72,1
41,TX,58.09,57.03,14.35,31.45,89.67,36
42,IL,57.03,48.87,18.06,41.3,96.28,18
43,CT,56.05,56.54,7.38,43.75,61.97,5
44,NJ,52.83,45.49,15.67,38.26,82.51,12
45,ND,48.96,48.96,NA,48.96,48.96,1
46,MA,47.41,44.07,11.02,33.13,62.83,9
47,MN,47.07,44.91,7.82,39.71,61.14,8
48,CA,44.87,40.8,14.84,24.2,106.98,53
49,NY,43.1,40.7,14.74,23.3,68.05,27
50,HI,41.77,41.77,11.55,33.6,49.94,2
51,DC,32.5,32.5,NA,32.5,32.5,1
